citekey,title,year,first_author,doi,arxiv_id,source,pdf_url,filename,status,message
liang2021revisiting,Revisiting convolutional neural networks for citywide crowd flow analytics,2021,Liang,10.1007/978-3-030-67658-2_33,,arXiv,http://arxiv.org/pdf/2003.00895v2,liang2021revisiting_Revisiting convolutional neural networks for citywide crowd flow analytics.pdf,downloaded,Downloaded from arXiv
liang2022mixed,Mixed-order relation-aware recurrent neural networks for spatio-temporal forecasting,2022,Liang,10.1109/tkde.2022.3222373,,,,liang2022mixed_Mixed-order relation-aware recurrent neural networks for spatio-temporal forecasting.pdf,not_found,No PDF URL found from sources
liang2023airformer,Airformer: Predicting nationwide air quality in china with transformers,2023,Liang,10.1609/aaai.v37i12.26676,,arXiv,http://arxiv.org/pdf/2211.15979v1,liang2023airformer_Airformerï¼š Predicting nationwide air quality in china with transformers.pdf,downloaded,Downloaded from arXiv
liu2020active,Active learning for node classification: The additional learning ability from unlabelled nodes,2020,Liu,,,,,liu2020active_Active learning for node classificationï¼š The additional learning ability from unlabelled nodes.pdf,not_found,No PDF URL found from sources
liu2021eignn,Eignn: Efficient infinite-depth graph neural networks,2021,Liu,,,OpenAlex,https://arxiv.org/abs/2202.10720,liu2021eignn_Eignnï¼š Efficient infinite-depth graph neural networks.pdf,download_failed,HTTP failed or not a PDF
liu2022dangling,Dangling-Aware Entity Alignment with Mixed High-Order Proximities,2022,Liu,10.18653/v1/2022.findings-naacl.88,,SemanticScholar,http://arxiv.org/pdf/2205.02406,liu2022dangling_Dangling-Aware Entity Alignment with Mixed High-Order Proximities.pdf,downloaded,Downloaded from SemanticScholar
liu2022lscale,Lscale: latent space clustering-based active learning for node classification,2022,Liu,10.1007/978-3-031-26387-3_4,,SemanticScholar,http://arxiv.org/pdf/2012.07065,liu2022lscale_Lscaleï¼š latent space clustering-based active learning for node classification.pdf,downloaded,Downloaded from SemanticScholar
liu2024scalable,Scalable and Effective Implicit Graph Neural Networks on Large Graphs,2024,Liu,,,OpenAlex,https://arxiv.org/pdf/1608.06993,liu2024scalable_Scalable and Effective Implicit Graph Neural Networks on Large Graphs.pdf,downloaded,Downloaded from OpenAlex
liu2025unitst,UniTST: Effectively Modeling Inter-Series and Intra-Series Dependencies for Multivariate Time Series Forecasting,2025,Liu,,,OpenAlex,http://arxiv.org/pdf/2406.04975,liu2025unitst_UniTSTï¼š Effectively Modeling Inter-Series and Intra-Series Dependencies for Multivariate Time Series Forecasting.pdf,downloaded,Downloaded from OpenAlex
luo2024fast,Fast Graph Sharpness-Aware Minimization for Enhancing and Accelerating Few-Shot Node Classification,2024,Luo,,,OpenAlex,http://arxiv.org/pdf/2410.16845,luo2024fast_Fast Graph Sharpness-Aware Minimization for Enhancing and Accelerating Few-Shot Node Classification.pdf,downloaded,Downloaded from OpenAlex
mei2024slang,SLANG: New Concept Comprehension of Large Language Models,2024,Mei,,,arXiv,http://arxiv.org/pdf/2401.12585v6,mei2024slang_SLANGï¼š New Concept Comprehension of Large Language Models.pdf,downloaded,Downloaded from arXiv
mei2025not,"""Not Aligned"" is Not"" Malicious"": Being Careful about Hallucinations of Large Language Models' Jailbreak",2025,Mei,,,arXiv,http://arxiv.org/pdf/2406.11668v2,mei2025not_ï¼‚Not Alignedï¼‚ is Notï¼‚ Maliciousï¼‚ï¼š Being Careful about Hallucinations of Large Language Models' Jailbreak.pdf,downloaded,Downloaded from arXiv
meng2024llm,LLM-A*: Large Language Model Enhanced Incremental Heuristic Search on Path Planning,2024,Meng,10.21203/rs.3.rs-4613568/v1,,SemanticScholar(arXiv),https://arxiv.org/pdf/2407.02511.pdf,meng2024llm_LLM-Aï¼Šï¼š Large Language Model Enhanced Incremental Heuristic Search on Path Planning.pdf,downloaded,Downloaded from SemanticScholar(arXiv)
tao2024llms,Are LLMs Really Not Knowledgable? Mining the Submerged Knowledge in LLMs' Memory,2025,Tao,,,arXiv,http://arxiv.org/pdf/2412.20846v1,tao2024llms_Are LLMs Really Not Knowledgableï¼Ÿ Mining the Submerged Knowledge in LLMs' Memory.pdf,downloaded,Downloaded from arXiv
wang2017using,Using knowledge graphs to explain entity co-occurrence in Twitter,2017,Wang,10.1145/3132847.3133161,,,,wang2017using_Using knowledge graphs to explain entity co-occurrence in Twitter.pdf,not_found,No PDF URL found from sources
wang2020detecting,Detecting implementation bugs in graph convolutional network based node classifiers,2020,Wang,10.1109/issre5003.2020.00037,,,,wang2020detecting_Detecting implementation bugs in graph convolutional network based node classifiers.pdf,not_found,No PDF URL found from sources
wang2020graphcrop,Graphcrop: Subgraph cropping for graph classification,2020,Wang,,,SemanticScholar(arXiv),https://arxiv.org/pdf/2009.10564.pdf,wang2020graphcrop_Graphcropï¼š Subgraph cropping for graph classification.pdf,downloaded,Downloaded from SemanticScholar(arXiv)
wang2020nodeaug,NodeAug: Semi-supervised node classification with data augmentation,2020,Wang,10.1145/3394486.3403063,,,,wang2020nodeaug_NodeAugï¼š Semi-supervised node classification with data augmentation.pdf,not_found,No PDF URL found from sources
wang2020provably,Provably robust node classification via low-pass message passing,2020,Wang,10.1109/icdm50108.2020.00071,,,,wang2020provably_Provably robust node classification via low-pass message passing.pdf,not_found,No PDF URL found from sources
wang2021adaptive,Adaptive data augmentation on temporal graphs,2021,Wang,,,,,wang2021adaptive_Adaptive data augmentation on temporal graphs.pdf,not_found,No PDF URL found from sources
wang2021curgraph,Curgraph: Curriculum learning for graph classification,2021,Wang,10.1145/3442381.3450025,,OpenAlex,https://dl.acm.org/doi/pdf/10.1145/3442381.3450025,wang2021curgraph_Curgraphï¼š Curriculum learning for graph classification.pdf,download_failed,HTTP failed or not a PDF
wang2021mixup,Mixup for node and graph classification,2021,Wang,10.1145/3442381.3449796,,SemanticScholar,https://dl.acm.org/doi/pdf/10.1145/3442381.3449796,wang2021mixup_Mixup for node and graph classification.pdf,download_failed,HTTP failed or not a PDF
wang2021progressive,Progressive supervision for node classification,2021,Wang,10.1007/978-3-030-67658-2_16,,,,wang2021progressive_Progressive supervision for node classification.pdf,not_found,No PDF URL found from sources
wang2021structure,Structure-aware label smoothing for graph neural networks,2021,Wang,,,OpenAlex,https://arxiv.org/abs/2112.00499,wang2021structure_Structure-aware label smoothing for graph neural networks.pdf,download_failed,HTTP failed or not a PDF
wang2021time,Time-aware neighbor sampling for temporal graph networks,2021,Wang,10.1109/ijcnn55064.2022.9892942,,OpenAlex,https://arxiv.org/abs/2112.09845,wang2021time_Time-aware neighbor sampling for temporal graph networks.pdf,download_failed,HTTP failed or not a PDF
wang2022flashlight,Flashlight: Scalable link prediction with effective decoders,2022,Wang,,,arXiv,http://arxiv.org/pdf/2209.10100v3,wang2022flashlight_Flashlightï¼š Scalable link prediction with effective decoders.pdf,downloaded,Downloaded from arXiv
wang2022graphcache,GraphCache: Message Passing as Caching for Sentence-Level Relation Extraction,2022,Wang,10.18653/v1/2022.findings-naacl.128,,OpenAlex,https://aclanthology.org/2022.findings-naacl.128.pdf,wang2022graphcache_GraphCacheï¼š Message Passing as Caching for Sentence-Level Relation Extraction.pdf,downloaded,Downloaded from OpenAlex
wang2022should,Should We Rely on Entity Mentions for Relation Extraction? Debiasing Relation Extraction with Counterfactual Analysis,2022,Wang,10.18653/v1/2022.naacl-main.224,,arXiv,http://arxiv.org/pdf/2205.03784v1,wang2022should_Should We Rely on Entity Mentions for Relation Extractionï¼Ÿ Debiasing Relation Extraction with Counterfactual Analysis.pdf,downloaded,Downloaded from arXiv
wang2023causal,A Causal View of Entity Bias in (Large) Language Models,2023,Wang,10.18653/v1/2023.findings-emnlp.1013,,arXiv,http://arxiv.org/pdf/2305.14695v2,wang2023causal_A Causal View of Entity Bias in (Large) Language Models.pdf,downloaded,Downloaded from arXiv
wang2023fragile,How Fragile is Relation Extraction under Entity Replacements?,2023,Wang,10.18653/v1/2023.conll-1.27,,SemanticScholar,http://arxiv.org/pdf/2305.13551,wang2023fragile_How Fragile is Relation Extraction under Entity Replacementsï¼Ÿ.pdf,downloaded,Downloaded from SemanticScholar
wang2023graph,Graph explicit neural networks: Explicitly encoding graphs for efficient and accurate inference,2023,Wang,10.1145/3539597.3570388,,SemanticScholar,https://dl.acm.org/doi/pdf/10.1145/3539597.3570388,wang2023graph_Graph explicit neural networksï¼š Explicitly encoding graphs for efficient and accurate inference.pdf,download_failed,HTTP failed or not a PDF
wang2023primacy,Primacy Effect of ChatGPT,2023,Wang,10.18653/v1/2023.emnlp-main.8,,arXiv,http://arxiv.org/pdf/2310.13206v2,wang2023primacy_Primacy Effect of ChatGPT.pdf,downloaded,Downloaded from arXiv
wang2024deepedit,Deepedit: Knowledge editing as decoding with constraints,2024,Wang,,,SemanticScholar(arXiv),https://arxiv.org/pdf/2401.10471.pdf,wang2024deepedit_Deepeditï¼š Knowledge editing as decoding with constraints.pdf,downloaded,Downloaded from SemanticScholar(arXiv)
wang2025recall,Con-ReCall: Detecting Pre-training Data in LLMs via Contrastive Decoding,2025,Wang,,,SemanticScholar(arXiv),https://arxiv.org/pdf/2409.03363.pdf,wang2025recall_Con-ReCallï¼š Detecting Pre-training Data in LLMs via Contrastive Decoding.pdf,downloaded,Downloaded from SemanticScholar(arXiv)
wang2025text,Text Speaks Louder than Vision: ASCII Art Reveals Textual Biases in Vision-Language Models.,2025,Wang,,,SemanticScholar(arXiv),https://arxiv.org/pdf/2504.01589.pdf,wang2025text_Text Speaks Louder than Visionï¼š ASCII Art Reveals Textual Biases in Vision-Language Models..pdf,downloaded,Downloaded from SemanticScholar(arXiv)
wang2025tricking,Tricking Retrievers with Influential Tokens: An Efficient Black-Box Corpus Poisoning Attack,2025,Wang,10.18653/v1/2025.naacl-long.210,,SemanticScholar(arXiv),https://arxiv.org/pdf/2503.21315.pdf,wang2025tricking_Tricking Retrievers with Influential Tokensï¼š An Efficient Black-Box Corpus Poisoning Attack.pdf,downloaded,Downloaded from SemanticScholar(arXiv)
wang2025vulnerability,Vulnerability of Large Language Models to Output Prefix Jailbreaks: Impact of Positions on Safety,2025,Wang,,,,,wang2025vulnerability_Vulnerability of Large Language Models to Output Prefix Jailbreaksï¼š Impact of Positions on Safety.pdf,not_found,No PDF URL found from sources
wu2025evostealer,EvoStealer: Differential Evolution for Prompt Template Stealing Against Text-to-Image Synthesis,2025,Wu,,,,,wu2025evostealer_EvoStealerï¼š Differential Evolution for Prompt Template Stealing Against Text-to-Image Synthesis.pdf,not_found,No PDF URL found from sources
xu2025how,How does Watermarking Affect Visual Language Models in Document Understanding?,2025,Xu,,,SemanticScholar(arXiv),https://arxiv.org/pdf/2504.01048.pdf,xu2025how_How does Watermarking Affect Visual Language Models in Document Understandingï¼Ÿ.pdf,downloaded,Downloaded from SemanticScholar(arXiv)
yang2024alignedcotpromptinglargelanguage,AlignedCoT: Prompting Large Language Models via Native-Speaking Demonstrations,2024,Yang,,,,,yang2024alignedcotpromptinglargelanguage_AlignedCoTï¼š Prompting Large Language Models via Native-Speaking Demonstrations.pdf,not_found,No PDF URL found from sources
yang2025optibench,OptiBench meets ReSocratic: Measure and improve LLMs for optimization modeling,2025,Yang,,,SemanticScholar(arXiv),https://arxiv.org/pdf/2407.09887.pdf,yang2025optibench_OptiBench meets ReSocraticï¼š Measure and improve LLMs for optimization modeling.pdf,downloaded,Downloaded from SemanticScholar(arXiv)
zhai2025peripheral,Peripheral Memory for LLMs: Integration of Sequential Memory Banks with Adaptive Querying,2025,Zhai,,,OpenAlex,https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=1000&context=pmri,zhai2025peripheral_Peripheral Memory for LLMsï¼š Integration of Sequential Memory Banks with Adaptive Querying.pdf,download_failed,HTTP failed or not a PDF
zhao2019optimization,Optimization algorithms for graph Laplacian estimation via ADMM and MM,2019,Zhao,10.1109/tsp.2019.2925602,,,,zhao2019optimization_Optimization algorithms for graph Laplacian estimation via ADMM and MM.pdf,not_found,No PDF URL found from sources
zhong2025mquake,MQuAKE-Remastered: Multi-Hop Knowledge Editing Can Only Be Advanced With Reliable Evaluations,2025,Zhong,,,,,zhong2025mquake_MQuAKE-Remasteredï¼š Multi-Hop Knowledge Editing Can Only Be Advanced With Reliable Evaluations.pdf,not_found,No PDF URL found from sources
zhu2025mitigating,Mitigating Lost-in-Retrieval Problems in Retrieval Augmented Multi-Hop Question Answering,2025,Zhu,10.18653/v1/2025.acl-long.1089,,,,zhu2025mitigating_Mitigating Lost-in-Retrieval Problems in Retrieval Augmented Multi-Hop Question Answering.pdf,not_found,No PDF URL found from sources
